"Reference","Value","Datasheet","Footprint","Qty","Manufacturer_Name","Manufacturer_Part_Number"
"a1,a2,a3,D1","~","","-- mixed values --","4","",""
"AE1","ESP32_ANT","~","global footprint library:ESP32_ANT","1","",""
"C1,C2","22PF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H220JA01-01A.pdf","global footprint library:GRM0335C1H220JA01D","2","Murata Electronics","GRM0335C1H220JA01D"
"C3","100PF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101JA01-01A.pdf","global footprint library:GRM0335C1H101JA01D","1","Murata Electronics","GRM0335C1H101JA01D"
"C4,C9,C10,C19","0.1uf","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033C81E104KE14-01A.pdf","global footprint library:GRM033C81E104KE14D","4","Murata Electronics","GRM033C81E104KE14D"
"C5","10nf","https://ds.yuden.co.jp/TYCOMPAS/or/detail?pn=MSASJ021SB5103KWNA01&u=I","global footprint library:MSASJ021SB5103KWNA01","1","TAIYO YUDEN","MSASJ021SB5103KWNA01"
"C6","3.3nf","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM022R60J332KE19-01A.pdf","global footprint library:GRM022R60J332KE19L","1","Murata Electronics","GRM022R60J332KE19L"
"C7","3.9 pf","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H3R9BA01-01A.pdf","global footprint library:GRM0335C1H3R9BA01D","1","Murata Electronics","GRM0335C1H3R9BA01D"
"C11,C18,C20","1uf","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R60J105MEA2-61A.pdf","global footprint library:GRM033R60J105MEA2D","3","Murata Electronics","GRM033R60J105MEA2D"
"C12,C13","10uf","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61E106KA73-01A.pdf","global footprint library:GRM21BR61E106KA73L","2","Murata Electronics","GRM21BR61E106KA73L"
"C15","2.4 pf","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H2R4BA01-01A.pdf","global footprint library:GRM0335C1H2R4BA01D","1","Murata Electronics","GRM0335C1H2R4BA01D"
"C16,C17","270 pf","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R71E271KA01-01A.pdf","global footprint library:GRM033R71E271KA01D","2","Murata Electronics","GRM033R71E271KA01D"
"IC1","ESP32-D0WDQ6","https://www.espressif.com/sites/default/files/documentation/esp32_datasheet_en.pdf","global footprint library:ESP32-D0WDQ6","1","Espressif Systems","ESP32-D0WDQ6"
"IC3","FLASH","https://www.winbond.com/resource-files/w25q32jv%20spi%20revc%2008302016.pdf","global footprint library:W25Q32JVSSIQ_TR","1","Winbond","W25Q32JVSSIQ TR"
"L1","2.7nH","https://abracon.com/Magnetics/new/AIMC-0603.pdf","global footprint library:AIMC-0603-2N7S-T","1","ABRACON","AIMC-0603-2N7S-T"
"R1","20K","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf","global footprint library:ERJ-XGNJ203Y","1","Panasonic","ERJ-XGNJ203Y"
"U1","40MHZ","https://abracon.com/Resonators/ABM11W.pdf","global footprint library:ABM11W-40.0000MHZ-4-B1U-T3","1","ABRACON","ABM11W-40.0000MHZ-4-B1U-T3"
